wiatr;pompa;morze;blaszki;mleko;kukulki
5,9;3,5;862;0,048;1,5;17,93
4,4;3,2;870;0,028;1,8;18,52
5,4;3,6;876;0,037;1,5;19,66
3,8;3;866;0,033;1,7;14,3
4;3,3;871;0,054;1,6;17,52
4,2;3,8;;0,046;1,6;20,76
3,4;2,5;;0,041;1,8;20,26
3,6;3;;0,043;1,6;19,82
4,6;3,7;;0,044;1,7;21,4
6,5;3,9;;0,05;1,6;16,54
5,6;;;0,047;;18,64
4,8;;;0,052;;17,62
;;;0,053;;20,79
;;;0,048;;19,14
;;;0,027;;16,74
;;;0,056;;14,93
;;;0,058;;18,56
;;;0,039;;15,43
;;;0,026;;15,19
;;;0,034;;21,05
;;;0,043;;20,79
;;;0,042;;
;;;0,047;;
;;;0,022;;
;;;0,046;;
;;;0,04;;
;;;0,036;;
;;;0,043;;
;;;0,041;;
;;;0,044;;
;;;0,043;;
;;;0,044;;
;;;0,038;;
;;;0,046;;
;;;0,041;;
;;;0,038;;
;;;0,047;;
;;;0,03;;
;;;0,041;;
;;;0,049;;
